uniform.dice	1	0.03
uniform.dice	2	0.02
uniform.dice	3	0.03
uniform.dice	4	0.03
uniform.dice	5	0.03
uniform.dice	6	0.03
uniform.dice	7	0.03
uniform.dice	8	0.03
uniform.dice	9	0.03
uniform.dice	10	0.04
uniform.dice	11	0.06
uniform.dice	12	0.1
uniform.dice	13	0.17
uniform.dice	14	0.39
uniform.dice	15	1.08
uniform.dice	16	2.76
uniform.dice	17	7.05
uniform.dice	18	16.43
uniform.dice	19	36.75
uniform.dice	20	86.37
uniform.dice	21	215.86
uniform.dice	22	540.56
uniform.dice	23	1610.27
uniform.dice	24	4250.56
