interleaved.jl	1	6.61
interleaved.jl	2	6.53
interleaved.jl	3	6.72
interleaved.jl	4	6.75
interleaved.jl	5	6.91
interleaved.jl	6	6.74
interleaved.jl	7	6.69
interleaved.jl	8	8.49
interleaved.jl	9	8.68
interleaved.jl	10	6.97
interleaved.jl	11	7.07
interleaved.jl	12	8.26
interleaved.jl	13	8.45
interleaved.jl	14	7.63
interleaved.jl	15	8.16
interleaved.jl	16	7.18
interleaved.jl	17	7.12
interleaved.jl	18	6.83
interleaved.jl	19	6.85
interleaved.jl	20	6.94
interleaved.jl	21	7.03
interleaved.jl	22	7.07
interleaved.jl	23	7.06
interleaved.jl	24	7.13
interleaved.jl	25	7.98
interleaved.jl	26	6.89
interleaved.jl	27	6.84
interleaved.jl	28	7.11
interleaved.jl	29	6.9
interleaved.jl	30	7.71
interleaved.jl	31	8.84
interleaved.jl	32	7.03
interleaved.jl	33	7.81
interleaved.jl	34	7.19
interleaved.jl	35	6.95
interleaved.jl	36	6.75
interleaved.jl	37	9.64
interleaved.jl	38	8.76
interleaved.jl	39	6.85
interleaved.jl	40	6.75
interleaved.jl	41	7.17
interleaved.jl	42	7.22
interleaved.jl	43	7.08
interleaved.jl	44	6.89
interleaved.jl	45	7.33
interleaved.jl	46	6.97
interleaved.jl	47	6.85
interleaved.jl	48	7.71
interleaved.jl	49	7.42
interleaved.jl	50	7.68
interleaved.jl	51	7.75
interleaved.jl	52	8.68
interleaved.jl	53	9.09
interleaved.jl	54	8.1
interleaved.jl	55	6.96
interleaved.jl	56	6.95
interleaved.jl	57	7.08
interleaved.jl	58	7.05
interleaved.jl	59	7.18
interleaved.jl	60	6.94
interleaved.jl	61	7.12
interleaved.jl	62	7.01
